romaji_title,english_title,native_title,description,genres,episodes,start_date,end_date,average_score,popularity,image_url
Narue no Sekai,The World of Narue,成恵の世界,"Meet Narue, an adorable schoolgirl with a secret. She's really an alien with powers right out of a sci-fi comic! But growing up is never easy, and sometimes it doesn't help when you're from outer space. Join our spunky heroine as she faces androids, alien invaders, and her first date with the boy next door. It's the sci-fi comedy that's a direct hit to your heart!<br><br>
(Source: Central Park Media)","Comedy, Romance, Sci-Fi",12.0,2003-4-5,2003-6-28,63.0,3891,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/840.jpg
KIBA,KIBA,牙-KIBA-,"In a dystopian future, two friends dream of freedom... and gain more than they bargain for! Hothead Zed is on the run from the authorities, while his brainy pal Noah struggles with his own battered body. Both find a magical world that seems to offer escape and power undreamed of. Join Zed and his powerful, rebellious spirit Amir Gaul on their search for the ultimate power. It's a force that can save the world - or destroy life as we know it. This is the world of KIBA! Where you must harness the power within and fight with all you got!<br><br>
(Source: RightStuf)","Adventure, Fantasy",51.0,2006-4-2,2007-3-25,68.0,10539,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/845.jpg
School Rumble Ni Gakki,School Rumble 2nd Term,スクールランブル 二学期,"Continuing right where season 1 left off: Harima still likes Tenma but still runs into obstacles everytime he tries to confess his love to her. To complicate the situation, Class 2-D challenges class 2-C once again and there's a rumor floating around that Harima and Yakumo are dating as the school prepares for the cultural festival.<br><br>
(Source: Anime News Network)","Comedy, Romance, Slice of Life",26.0,2006-4-3,2006-9-25,77.0,22140,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b846-5sTqhxItEaTK.jpg
Suzumiya Haruhi no Yuuutsu,The Melancholy of Haruhi Suzumiya,涼宮ハルヒの憂鬱,"Kyon, your typical high school student, has long given up his belief in the supernatural. However, upon meeting Haruhi Suzumiya, he quickly finds out that it is the supernatural that she is interested in; aliens, time travelers and espers among other things. When Haruhi laments about the lack of intriguing clubs around school, Kyon inspires Haruhi to form her own club. As a result, the SOS Brigade is formed, a club which specializes in all that is the supernatural.<br><br>
Much to his chagrin, Kyon, along with the silent bookworm, Yuki Nagato, the shy and timid Mikuru Asahina, and the perpetually smiling Itsuki Koizumi, are recruited as members. The story follows the crazy adventures that these four endure under their whimsical leader, Haruhi. The story is based on the light novels by Nagaru Tanigawa.<br><br>
<i>Note: This entry is for the original 14-episode 2006 airing. The series was further expanded and reordered into <a href=""https://anilist.co/anime/4382/Suzumiya-Haruhi-no-Yuuutsu-2009/"">a 28-episode series in 2009.</a>","Comedy, Mystery, Sci-Fi, Slice of Life, Supernatural",14.0,2006-4-3,2006-7-3,76.0,172160,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx849-wQM3GqLvl62P.png
Gakuen Heaven,Heaven Academy,学園ヘヴン,"Itou Keita, an average guy, is shocked when he's invited to attend the elite institution, ""Bell Liberty Academy"". Unnerved by the mystery, he's further distracted by the school's social dynamics. In a sea of amazing young men, Keita struggles to find out what makes him unique, and how he can possibly deserve to be treated as an equal by the boys of BL. Lacking any particular ability, just why has Itou been welcomed into the privileged world of the talented and the beautiful? <br><br>
Along the way, he develops intense relationships with the almost everyone at school but he is terribly drawn to the friendly, overcaring but very mysterious classmate, Kazuki Endou.","Comedy, Drama, Romance",13.0,2006-4-1,2006-6-24,59.0,8867,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx850-5CPBUOU71nqE.png
Gokinjo Monogatari,Gokinjo Monogatari,ご近所物語,"The protagonist, Mikako Kouda, is a student of ""Yaza Gaku."" Specialising in fashion design, Mikako dreams of becoming a fashion designer with her own brand. Living next to her is her childhood friend, Tsutomu Yamaguchi. Even though they have been close since they were young, they share a platonic friendship. However, Tsutomu has been gaining popularity, especially with the girls, because he seems to resemble a popular vocalist from a band and somehow, Mikako begins to see him in a different light.<br>
<br>
This is a story about how youths cope with dreams, love and friendship.<br>
<br>
(Source: Anime News Network) ","Comedy, Drama, Romance, Slice of Life",50.0,1995-9-10,1996-9-1,75.0,9926,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx852-1chkfKkfOczt.jpg
Ouran Koukou Host Club,Ouran High School Host Club,桜蘭高校ホスト部,"Fujioka Haruhi wins a scholarship to attend Ouran Academy, a school reserved for only the most rich and prestigious. Despite what other students may think of her, she cares little for physical appearances or the fact that she is a commoner.<br><br>
Unfortunately for Haruhi, her high school days take a sudden turn when she stumbles upon the Host Club, an elite club filled with super rich and beautiful boys who use their specific traits and charms to entertain young ladies. Even worse, Haruhi accidentally breaks an 8-million yen vase in the club. Since she is unable to repay her debt with money, Haruhi finds herself with no choice but to work for the Host Club, becoming a male host herself.","Comedy, Drama, Romance, Slice of Life",26.0,2006-4-5,2006-9-27,80.0,216883,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx853-fiUtW8yohsSF.jpg
Soul Link,Soul Link,,"Aizawa Ryota was in the 3rd grade of the preparatory course of Central Military Academy. AD 2045, he went to a space station, Aries, for the training with his classmates including Nagase Saka and Nittak Kazuhiko. However, the station was attacked by a terrorist group, Hallarax.Now they must find a way back to earth.
<br><br>
(Source: Anime News Network)","Action, Adventure, Comedy, Drama, Ecchi, Romance, Sci-Fi",12.0,2006-4-2,2006-6-25,57.0,3729,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx854-q1ldaqQVi2RJ.png
Strawberry Panic,Strawberry Panic,ストロベリー・パニック,"Aoi Nagisa transfers to one of the three affiliated all-girl Catholic schools on Astraea Hill, St. Miator's Girls' Academy. There, she discovers a community of fellow students entwined in an intricate hierarchy, in which two Etoiles represent the three schools. In order to fit in, Nagisa must go to class, join clubs, and make new friends. Meanwhile, Shizuma Hanazono, the sole Etoile of Astraea Hill, finds herself drawn to this new, exciting transfer student. As Shizuma and Nagisa get to know each other, Shizuma finally decides it is time to face her troubled past.","Drama, Romance",26.0,2006-4-3,2006-9-25,67.0,27125,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx855-hIqnp64Sovir.png
Utawarerumono,Utawarerumono,うたわれるもの,"Everything about him is shrouded in mystery. The mask he can't remove. The past he can't unravel. And the very survival of the people who have chosen him as their leader. But what Hakuoro does know is this: he was gravely injured and left for dead in a forest. A kind young girl named Eluluu found him and nursed him back to health. He was welcomed into a barren land where strange creatures roam, an angry god seeks vengeance, an oppressive government slaughters the innocent, and a bloody war looms on the horizon. Will the masked hero liberate the people who saved him? Can he unlock the memories that elude him? Or will he remain a stranger even to himself? <br><br>
(Source: Funimation) ","Action, Drama, Fantasy, Sci-Fi",26.0,2006-4-4,2006-9-26,73.0,31074,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx856-lawtNdvqvgwd.png
